n,pts_time,fps,frame_idx
1,0.0,25.0,0
2,3.2,25.0,80
3,6.64,25.0,166
4,7.28,25.0,182
5,11.04,25.0,276
6,18.04,25.0,451
7,22.32,25.0,558
8,23.2,25.0,580
9,24.48,25.0,612
10,29.56,25.0,739
11,34.52,25.0,863
12,36.0,25.0,900
13,39.52,25.0,988
14,40.52,25.0,1013
15,45.52,25.0,1138
16,47.44,25.0,1186
17,54.44,25.0,1361
18,57.44,25.0,1436
19,64.44,25.0,1611
20,70.96,25.0,1773
21,72.28,25.0,1807
22,74.6,25.0,1864
23,78.6,25.0,1964
24,83.84,25.0,2096
25,85.2,25.0,2130
26,88.32,25.0,2208
27,89.48,25.0,2237
28,92.48,25.0,2312
29,96.72,25.0,2418
30,99.72,25.0,2493
31,106.52,25.0,2663
32,110.88,25.0,2772
33,113.76,25.0,2844
34,115.68,25.0,2892
35,119.56,25.0,2989
36,121.52,25.0,3038
37,127.32,25.0,3183
38,130.56,25.0,3264
39,132.6,25.0,3315
40,134.32,25.0,3358
41,135.96,25.0,3399
42,138.0,25.0,3450
43,145.0,25.0,3625
44,151.0,25.0,3775
45,158.0,25.0,3950
46,163.0,25.0,4075
47,166.44,25.0,4161
48,171.0,25.0,4275
49,175.6,25.0,4390
50,180.16,25.0,4504
51,184.64,25.0,4616
52,186.2,25.0,4655
53,191.0,25.0,4775
54,196.56,25.0,4914
55,199.16,25.0,4979
56,200.76,25.0,5019
57,202.52,25.0,5063
58,206.32,25.0,5158
59,207.4,25.0,5185
60,212.4,25.0,5310
61,217.16,25.0,5429
62,222.52,25.0,5563
63,226.2,25.0,5655
64,229.52,25.0,5738
65,236.52,25.0,5913
66,242.52,25.0,6063
67,247.16,25.0,6179
68,253.16,25.0,6329
69,254.92,25.0,6373
70,258.4,25.0,6459
71,262.4,25.0,6559
72,264.0,25.0,6600
73,267.44,25.0,6686
74,268.68,25.0,6717
75,272.24,25.0,6806
76,274.44,25.0,6861
77,279.28,25.0,6981
78,280.8,25.0,7020
79,284.0,25.0,7100
80,287.76,25.0,7194
81,294.76,25.0,7369
82,300.76,25.0,7519
83,303.76,25.0,7594
84,308.28,25.0,7706
85,313.48,25.0,7837
86,320.12,25.0,8003
87,327.12,25.0,8178
88,330.12,25.0,8253
89,335.24,25.0,8381
90,342.24,25.0,8556
91,349.24,25.0,8731
92,353.16,25.0,8829
93,358.56,25.0,8964
94,361.28,25.0,9032
95,364.56,25.0,9114
96,367.04,25.0,9176
97,369.64,25.0,9241
98,374.12,25.0,9353
99,377.56,25.0,9439
100,381.08,25.0,9527
101,384.52,25.0,9613
102,391.52,25.0,9788
103,394.52,25.0,9863
104,399.36,25.0,9984
105,400.56,25.0,10014
106,401.92,25.0,10048
107,403.56,25.0,10089
108,407.64,25.0,10191
109,411.2,25.0,10280
110,414.08,25.0,10352
111,415.32,25.0,10383
112,418.32,25.0,10458
113,425.32,25.0,10633
114,430.4,25.0,10760
115,434.84,25.0,10871
116,437.84,25.0,10946
117,443.56,25.0,11089
118,450.56,25.0,11264
119,453.68,25.0,11342
120,456.44,25.0,11411
121,458.76,25.0,11469
122,462.56,25.0,11564
123,464.72,25.0,11618
124,466.28,25.0,11657
125,467.92,25.0,11698
126,474.92,25.0,11873
127,481.6,25.0,12040
128,487.92,25.0,12198
129,494.92,25.0,12373
130,498.92,25.0,12473
131,503.84,25.0,12596
132,508.64,25.0,12716
133,513.68,25.0,12841
134,517.88,25.0,12947
135,520.88,25.0,13022
136,525.88,25.0,13147
137,530.28,25.0,13257
138,532.92,25.0,13322
139,534.92,25.0,13372
140,537.84,25.0,13446
141,540.6,25.0,13515
142,545.56,25.0,13638
143,552.04,25.0,13801
144,558.68,25.0,13966
145,565.68,25.0,14141
146,568.68,25.0,14216
147,573.2,25.0,14330
148,580.0,25.0,14500
149,584.2,25.0,14605
150,589.16,25.0,14729
151,591.16,25.0,14779
152,594.36,25.0,14859
153,599.64,25.0,14991
154,602.2,25.0,15055
155,606.24,25.0,15156
156,613.24,25.0,15331
157,620.24,25.0,15506
158,627.24,25.0,15681
159,633.24,25.0,15831
160,636.88,25.0,15922
161,639.4,25.0,15985
162,643.56,25.0,16088
163,645.36,25.0,16134
164,649.52,25.0,16238
165,652.52,25.0,16313
166,656.92,25.0,16423
167,658.84,25.0,16471
168,660.12,25.0,16503
169,664.2,25.0,16605
170,666.2,25.0,16655
171,668.2,25.0,16705
172,670.44,25.0,16761
173,675.84,25.0,16896
174,676.56,25.0,16914
175,681.2,25.0,17030
176,684.68,25.0,17117
177,687.44,25.0,17186
178,689.32,25.0,17233
179,691.64,25.0,17291
180,693.08,25.0,17327
181,694.28,25.0,17357
182,696.0,25.0,17400
183,697.16,25.0,17429
184,699.64,25.0,17491
185,700.08,25.0,17502
186,701.4,25.0,17535
187,703.92,25.0,17598
188,706.96,25.0,17674
189,708.6,25.0,17715
190,712.6,25.0,17815
191,719.04,25.0,17976
192,726.04,25.0,18151
193,730.04,25.0,18251
194,733.8,25.0,18345
195,734.76,25.0,18369
196,736.92,25.0,18423
197,743.48,25.0,18587
198,749.48,25.0,18737
199,755.48,25.0,18887
200,762.12,25.0,19053
201,765.12,25.0,19128
202,768.2,25.0,19205
203,769.84,25.0,19246
204,773.4,25.0,19335
205,775.72,25.0,19393
206,782.72,25.0,19568
207,787.72,25.0,19693
208,792.48,25.0,19812
209,796.48,25.0,19912
210,799.0,25.0,19975
211,804.48,25.0,20112
212,805.92,25.0,20148
213,808.92,25.0,20223
214,814.04,25.0,20351
215,816.88,25.0,20422
216,820.8,25.0,20520
217,823.88,25.0,20597
218,830.88,25.0,20772
219,835.88,25.0,20897
220,842.08,25.0,21052
221,846.56,25.0,21164
222,852.28,25.0,21307
223,856.64,25.0,21416
224,858.76,25.0,21469
225,865.0,25.0,21625
226,871.8,25.0,21795
227,877.2,25.0,21930
228,881.44,25.0,22036
229,886.12,25.0,22153
230,888.4,25.0,22210
231,894.84,25.0,22371
232,901.0,25.0,22525
233,908.0,25.0,22700
234,913.0,25.0,22825
235,915.56,25.0,22889
236,918.84,25.0,22971
237,925.08,25.0,23127
238,927.28,25.0,23182
239,928.28,25.0,23207
240,933.08,25.0,23327
241,934.08,25.0,23352
242,937.52,25.0,23438
243,941.88,25.0,23547
244,943.88,25.0,23597
245,950.88,25.0,23772
246,955.64,25.0,23891
247,959.6,25.0,23990
248,960.6,25.0,24015
249,964.36,25.0,24109
250,968.64,25.0,24216
251,975.64,25.0,24391
252,982.2,25.0,24555
253,988.64,25.0,24716
254,992.24,25.0,24806
255,994.52,25.0,24863
256,997.32,25.0,24933
257,1000.36,25.0,25009
258,1007.36,25.0,25184
259,1011.88,25.0,25297
260,1015.0,25.0,25375
261,1020.08,25.0,25502
262,1023.48,25.0,25587
263,1030.48,25.0,25762
264,1034.64,25.0,25866
265,1037.72,25.0,25943
266,1044.72,25.0,26118
267,1049.16,25.0,26229
268,1054.12,25.0,26352
269,1059.8,25.0,26495
270,1065.2,25.0,26630
271,1069.96,25.0,26749
272,1072.96,25.0,26824
273,1075.64,25.0,26891
274,1078.08,25.0,26952
275,1085.08,25.0,27127
276,1091.92,25.0,27298
277,1095.2,25.0,27380
278,1099.84,25.0,27495
279,1105.8,25.0,27645
280,1108.92,25.0,27723
281,1113.52,25.0,27838
282,1115.48,25.0,27887
283,1118.48,25.0,27962
284,1121.28,25.0,28032
285,1123.92,25.0,28098
286,1127.92,25.0,28198
287,1134.44,25.0,28361
288,1137.48,25.0,28437
289,1142.48,25.0,28562
290,1149.36,25.0,28733
291,1154.08,25.0,28852
292,1159.2,25.0,28980
293,1162.56,25.0,29064
294,1164.0,25.0,29100
295,1167.52,25.0,29188
296,1169.88,25.0,29247
297,1173.96,25.0,29349
298,1175.88,25.0,29397
299,1181.6,25.0,29539
300,1186.08,25.0,29652
301,1193.08,25.0,29827
302,1198.76,25.0,29969
303,1205.52,25.0,30138
304,1212.52,25.0,30313
305,1215.52,25.0,30388
306,1219.28,25.0,30482
307,1225.28,25.0,30632
308,1229.56,25.0,30739
309,1236.0,25.0,30900
310,1242.24,25.0,31056
311,1245.24,25.0,31131
312,1251.96,25.0,31299
313,1256.76,25.0,31419
314,1259.76,25.0,31494
315,1263.76,25.0,31594
316,1265.88,25.0,31647
317,1268.32,25.0,31708
318,1273.28,25.0,31832
319,1276.36,25.0,31908
320,1278.8,25.0,31970
321,1281.48,25.0,32037
322,1288.16,25.0,32204
323,1290.04,25.0,32251
324,1295.04,25.0,32376
325,1301.4,25.0,32535
326,1305.16,25.0,32629
327,1311.04,25.0,32776
328,1316.12,25.0,32903
329,1317.76,25.0,32944
330,1320.24,25.0,33006
331,1327.24,25.0,33181
332,1333.68,25.0,33342
