n,pts_time,fps,frame_idx
1,0.0,25.0,0
2,4.0,25.0,100
3,11.0,25.0,275
4,18.0,25.0,450
5,19.32,25.0,483
6,22.76,25.0,569
7,24.4,25.0,610
8,29.28,25.0,732
9,31.32,25.0,783
10,38.32,25.0,958
11,44.68,25.0,1117
12,51.28,25.0,1282
13,52.2,25.0,1305
14,53.32,25.0,1333
15,57.88,25.0,1447
16,60.28,25.0,1507
17,64.24,25.0,1605
18,70.24,25.0,1755
19,74.08,25.0,1852
20,79.16,25.0,1979
21,83.56,25.0,2089
22,85.0,25.0,2125
23,88.88,25.0,2222
24,93.6,25.0,2340
25,95.08,25.0,2377
26,98.88,25.0,2472
27,100.76,25.0,2519
28,104.64,25.0,2616
29,106.92,25.0,2673
30,109.36,25.0,2734
31,111.68,25.0,2792
32,118.68,25.0,2967
33,121.68,25.0,3042
34,126.88,25.0,3172
35,129.28,25.0,3232
36,133.28,25.0,3332
37,136.72,25.0,3418
38,139.64,25.0,3490
39,141.92,25.0,3547
40,144.56,25.0,3614
41,147.4,25.0,3685
42,150.32,25.0,3758
43,152.72,25.0,3818
44,155.32,25.0,3883
45,158.32,25.0,3958
46,162.2,25.0,4054
47,164.76,25.0,4119
48,167.6,25.0,4190
49,170.36,25.0,4259
50,173.56,25.0,4339
51,176.84,25.0,4421
52,182.84,25.0,4571
53,189.84,25.0,4746
54,194.28,25.0,4857
55,200.4,25.0,5010
56,206.88,25.0,5172
57,211.68,25.0,5292
58,217.84,25.0,5446
59,224.12,25.0,5603
60,230.6,25.0,5765
61,237.56,25.0,5939
62,243.68,25.0,6092
63,250.68,25.0,6267
64,254.68,25.0,6367
65,260.6,25.0,6515
66,264.68,25.0,6617
67,268.28,25.0,6706
68,273.76,25.0,6844
69,279.8,25.0,6995
70,286.16,25.0,7154
71,289.2,25.0,7230
72,294.32,25.0,7358
73,299.0,25.0,7475
74,302.0,25.0,7550
75,307.68,25.0,7692
76,311.52,25.0,7788
77,317.0,25.0,7925
78,321.84,25.0,8045
79,324.0,25.0,8100
80,327.56,25.0,8189
81,331.52,25.0,8288
82,333.48,25.0,8337
83,336.52,25.0,8413
84,341.96,25.0,8549
85,348.96,25.0,8724
86,351.96,25.0,8799
87,356.56,25.0,8914
88,361.84,25.0,9046
89,365.92,25.0,9148
90,368.56,25.0,9214
91,372.24,25.0,9306
92,376.88,25.0,9422
93,382.28,25.0,9557
94,387.8,25.0,9695
95,394.8,25.0,9870
96,401.8,25.0,10045
97,405.24,25.0,10131
98,408.52,25.0,10213
99,415.4,25.0,10385
100,420.28,25.0,10507
101,423.08,25.0,10577
102,426.52,25.0,10663
103,430.88,25.0,10772
104,436.8,25.0,10920
105,439.64,25.0,10991
106,443.8,25.0,11095
107,448.08,25.0,11202
108,451.28,25.0,11282
109,453.2,25.0,11330
110,459.68,25.0,11492
111,462.68,25.0,11567
112,467.48,25.0,11687
113,471.88,25.0,11797
114,478.04,25.0,11951
115,483.08,25.0,12077
116,486.08,25.0,12152
117,492.32,25.0,12308
118,497.92,25.0,12448
119,498.2,25.0,12455
120,501.24,25.0,12531
121,508.24,25.0,12706
122,514.72,25.0,12868
123,517.72,25.0,12943
124,521.92,25.0,13047
125,526.04,25.0,13151
126,531.56,25.0,13288
127,537.52,25.0,13438
128,543.76,25.0,13594
129,548.96,25.0,13724
130,553.08,25.0,13827
131,557.84,25.0,13946
132,564.84,25.0,14121
133,570.84,25.0,14271
134,576.4,25.0,14410
135,581.56,25.0,14538
136,587.36,25.0,14684
137,593.24,25.0,14831
138,599.36,25.0,14984
139,606.36,25.0,15159
140,609.76,25.0,15244
141,612.96,25.0,15324
142,618.8,25.0,15469
143,621.4,25.0,15535
144,624.16,25.0,15604
145,626.56,25.0,15663
146,630.32,25.0,15758
147,635.96,25.0,15899
148,637.84,25.0,15946
149,641.48,25.0,16037
150,648.16,25.0,16204
151,655.16,25.0,16379
152,659.16,25.0,16479
153,666.16,25.0,16654
154,672.04,25.0,16801
155,678.36,25.0,16959
156,683.68,25.0,17092
157,686.88,25.0,17172
158,691.76,25.0,17294
159,696.16,25.0,17404
160,700.0,25.0,17500
161,702.8,25.0,17570
162,705.48,25.0,17637
163,711.0,25.0,17775
164,715.8,25.0,17895
165,721.4,25.0,18035
166,726.28,25.0,18157
167,733.28,25.0,18332
168,738.28,25.0,18457
169,742.68,25.0,18567
170,746.28,25.0,18657
171,752.6,25.0,18815
172,758.48,25.0,18962
173,762.92,25.0,19073
174,765.92,25.0,19148
175,770.72,25.0,19268
176,777.2,25.0,19430
177,780.2,25.0,19505
178,785.52,25.0,19638
179,791.84,25.0,19796
180,795.8,25.0,19895
181,800.96,25.0,20024
182,807.96,25.0,20199
183,812.68,25.0,20317
184,819.68,25.0,20492
185,823.4,25.0,20585
186,830.32,25.0,20758
187,834.96,25.0,20874
188,836.96,25.0,20924
189,841.48,25.0,21037
190,847.84,25.0,21196
191,854.04,25.0,21351
192,856.36,25.0,21409
193,859.08,25.0,21477
194,863.28,25.0,21582
195,870.28,25.0,21757
196,877.28,25.0,21932
197,881.76,25.0,22044
198,888.28,25.0,22207
199,891.44,25.0,22286
200,895.92,25.0,22398
201,902.84,25.0,22571
202,906.36,25.0,22659
203,913.36,25.0,22834
204,916.48,25.0,22912
205,918.72,25.0,22968
206,919.72,25.0,22993
207,922.72,25.0,23068
208,925.92,25.0,23148
209,929.56,25.0,23239
210,936.24,25.0,23406
211,943.24,25.0,23581
212,948.56,25.0,23714
213,951.56,25.0,23789
214,954.84,25.0,23871
215,960.92,25.0,24023
216,964.32,25.0,24108
217,967.2,25.0,24180
218,970.08,25.0,24252
219,972.4,25.0,24310
