n,pts_time,fps,frame_idx
1,0.0,25.0,0
2,3.6,25.0,90
3,9.4,25.0,235
4,12.4,25.0,310
5,14.68,25.0,367
6,18.28,25.0,457
7,19.84,25.0,496
8,24.72,25.0,618
9,29.72,25.0,743
10,33.76,25.0,844
11,38.2,25.0,955
12,45.04,25.0,1126
13,51.6,25.0,1290
14,56.4,25.0,1410
15,61.4,25.0,1535
16,65.8,25.0,1645
17,69.08,25.0,1727
18,73.44,25.0,1836
19,78.0,25.0,1950
20,81.72,25.0,2043
21,87.48,25.0,2187
22,93.0,25.0,2325
23,99.6,25.0,2490
24,105.48,25.0,2637
25,108.84,25.0,2721
26,114.28,25.0,2857
27,121.2,25.0,3030
28,126.0,25.0,3150
29,132.0,25.0,3300
30,137.12,25.0,3428
31,140.68,25.0,3517
32,147.6,25.0,3690
33,153.68,25.0,3842
34,158.4,25.0,3960
35,165.16,25.0,4129
36,168.64,25.0,4216
37,171.88,25.0,4297
38,176.04,25.0,4401
39,181.0,25.0,4525
40,188.0,25.0,4700
41,193.16,25.0,4829
42,198.12,25.0,4953
43,199.84,25.0,4996
44,203.04,25.0,5076
45,206.64,25.0,5166
46,213.6,25.0,5340
47,217.2,25.0,5430
48,221.4,25.0,5535
49,228.0,25.0,5700
50,234.2,25.0,5855
51,239.56,25.0,5989
52,241.2,25.0,6030
53,245.4,25.0,6135
54,252.0,25.0,6300
55,257.84,25.0,6445
56,262.8,25.0,6570
57,268.04,25.0,6701
58,274.8,25.0,6870
59,279.6,25.0,6990
60,283.8,25.0,7095
61,286.8,25.0,7170
62,293.8,25.0,7345
63,298.8,25.0,7470
64,305.16,25.0,7629
65,305.44,25.0,7636
66,308.84,25.0,7720
67,313.36,25.0,7834
68,316.6,25.0,7915
69,319.92,25.0,7998
70,321.88,25.0,8047
71,322.96,25.0,8073
72,326.88,25.0,8172
73,327.96,25.0,8199
74,332.24,25.0,8306
75,333.72,25.0,8343
76,339.24,25.0,8481
77,342.24,25.0,8556
78,346.0,25.0,8650
79,349.2,25.0,8730
80,352.76,25.0,8819
81,356.72,25.0,8918
82,358.36,25.0,8959
83,362.32,25.0,9058
84,364.84,25.0,9121
85,371.84,25.0,9296
86,375.6,25.0,9390
87,380.84,25.0,9521
88,385.44,25.0,9636
89,386.2,25.0,9655
90,389.48,25.0,9737
91,395.24,25.0,9881
