n,pts_time,fps,frame_idx
1,0.0,25.0,0
2,3.2,25.0,80
3,6.32,25.0,158
4,8.88,25.0,222
5,15.88,25.0,397
6,21.24,25.0,531
7,23.56,25.0,589
8,25.0,25.0,625
9,28.64,25.0,716
10,31.04,25.0,776
11,33.6,25.0,840
12,36.16,25.0,903
13,38.6,25.0,965
14,39.6,25.0,990
15,44.6,25.0,1115
16,46.0,25.0,1150
17,53.0,25.0,1325
18,56.08,25.0,1402
19,63.08,25.0,1577
20,68.28,25.0,1707
21,73.48,25.0,1837
22,76.16,25.0,1904
23,79.2,25.0,1980
24,84.12,25.0,2103
25,85.88,25.0,2147
26,92.48,25.0,2312
27,95.6,25.0,2390
28,102.52,25.0,2563
29,107.28,25.0,2682
30,114.28,25.0,2857
31,118.28,25.0,2957
32,121.36,25.0,3034
33,125.32,25.0,3133
34,130.8,25.0,3270
35,134.68,25.0,3367
36,137.76,25.0,3444
37,140.36,25.0,3509
38,144.92,25.0,3622
39,146.84,25.0,3671
40,148.76,25.0,3719
41,150.88,25.0,3772
42,152.12,25.0,3803
43,156.0,25.0,3900
44,159.64,25.0,3990
45,166.64,25.0,4166
46,172.92,25.0,4323
47,179.92,25.0,4498
48,182.92,25.0,4573
49,187.92,25.0,4698
50,191.64,25.0,4791
51,198.6,25.0,4965
52,205.4,25.0,5135
53,211.96,25.0,5299
54,214.96,25.0,5374
55,221.96,25.0,5549
56,225.76,25.0,5644
57,228.48,25.0,5712
58,231.44,25.0,5786
59,237.88,25.0,5947
60,240.88,25.0,6022
61,245.88,25.0,6147
62,248.88,25.0,6222
63,255.88,25.0,6397
64,258.88,25.0,6472
65,263.88,25.0,6597
66,270.88,25.0,6772
67,273.88,25.0,6847
68,278.88,25.0,6972
69,285.6,25.0,7140
70,290.28,25.0,7256
71,294.68,25.0,7367
72,299.28,25.0,7481
73,301.16,25.0,7529
74,308.16,25.0,7704
75,314.0,25.0,7850
76,319.6,25.0,7990
77,324.68,25.0,8117
78,331.6,25.0,8290
79,338.6,25.0,8465
80,343.8,25.0,8595
81,349.2,25.0,8730
82,354.48,25.0,8862
83,360.28,25.0,9007
84,366.56,25.0,9164
85,370.0,25.0,9250
86,371.6,25.0,9290
87,376.84,25.0,9421
88,383.76,25.0,9594
89,386.76,25.0,9669
90,391.72,25.0,9793
91,396.32,25.0,9908
92,402.0,25.0,10050
93,405.12,25.0,10128
94,408.24,25.0,10206
95,411.04,25.0,10276
96,415.04,25.0,10376
97,418.24,25.0,10456
98,422.08,25.0,10552
99,426.84,25.0,10671
100,433.2,25.0,10830
101,439.44,25.0,10986
102,444.32,25.0,11108
103,448.52,25.0,11213
104,455.52,25.0,11388
105,462.04,25.0,11551
106,467.44,25.0,11686
107,470.44,25.0,11761
108,475.72,25.0,11893
109,481.72,25.0,12043
110,485.44,25.0,12136
111,488.08,25.0,12202
112,491.08,25.0,12277
113,495.28,25.0,12382
114,501.6,25.0,12540
115,506.28,25.0,12657
116,513.24,25.0,12831
117,518.0,25.0,12950
118,522.0,25.0,13050
119,526.0,25.0,13150
120,533.0,25.0,13325
121,538.0,25.0,13450
122,543.0,25.0,13575
123,547.88,25.0,13697
124,554.84,25.0,13871
125,558.96,25.0,13974
126,562.84,25.0,14071
127,567.16,25.0,14179
128,570.16,25.0,14254
129,574.4,25.0,14360
130,579.92,25.0,14497
131,585.2,25.0,14630
132,588.68,25.0,14716
133,595.68,25.0,14891
134,598.68,25.0,14966
135,602.84,25.0,15071
136,607.84,25.0,15196
137,610.84,25.0,15271
138,615.92,25.0,15397
139,622.16,25.0,15554
140,626.96,25.0,15674
141,631.96,25.0,15799
142,633.96,25.0,15849
143,639.08,25.0,15977
144,645.36,25.0,16134
145,648.88,25.0,16222
146,655.88,25.0,16397
147,662.48,25.0,16562
